case_id,case_year,justice_name,advocate_name,utt_id_first,utt_id_last,advocate_gender,num_utts,num_utts_adv,num_utts_justice,num_toks_total,num_toks_adv,num_toks_justice,advocate_ideology,justice_ideology,adv_experience_int,adv_experience_bin,female_issue,num_adv_utts_interrupted,num_justice_utts_interrupted,adv_interruption_rate,justice_interruption_rate,num_adv_disfl,num_justice_disfl,num_adv_toks_in_utts_interrupted,num_justice_toks_in_utts_interrupted,justice_gender,adv_ideology_gender,ideology_matches
2014_13-6827,2014,Antonin Scalia,Douglas Laycock,23221__0_003,23221__0_008,M,6,3,3,348,166,182,liberal,conservative,2,1,0,1,0,6.024096385542169,0.0,2,4,65,0,M,M-liberal,0
2014_13-6827,2014,John G. Roberts Jr.,Douglas Laycock,23221__0_009,23221__0_012,M,4,2,2,280,69,211,liberal,conservative,2,1,0,0,0,0.0,0.0,0,3,0,0,M,M-liberal,0
2014_13-6827,2014,Anthony M. Kennedy,Douglas Laycock,23221__0_015,23221__0_020,M,6,3,3,193,107,86,liberal,conservative,2,1,0,0,0,0.0,0.0,1,3,0,0,M,M-liberal,0
2014_13-6827,2014,Ruth Bader Ginsburg,Douglas Laycock,23221__0_023,23221__0_026,M,4,2,2,314,219,95,liberal,liberal,2,1,0,0,0,0.0,0.0,5,2,0,0,F,M-liberal,1
2014_13-6827,2014,Elena Kagan,Douglas Laycock,23221__0_027,23221__0_030,M,4,2,2,365,180,185,liberal,liberal,2,1,0,1,0,5.555555555555555,0.0,4,1,93,0,F,M-liberal,1
2014_13-6827,2014,Sonia Sotomayor,Douglas Laycock,23221__0_033,23221__0_036,M,4,2,2,316,134,182,liberal,liberal,2,1,0,0,0,0.0,0.0,3,3,0,0,F,M-liberal,1
2014_13-6827,2014,Antonin Scalia,Douglas Laycock,23221__0_037,23221__0_042,M,6,3,3,179,121,58,liberal,conservative,2,1,0,1,2,8.264462809917354,34.48275862068966,2,5,85,33,M,M-liberal,0
2014_13-6827,2014,Antonin Scalia,David A. Curran,23221__2_002,23221__2_009,M,8,4,4,281,152,129,conservative,conservative,0,0,0,3,0,19.736842105263158,0.0,8,4,106,0,M,M-conservative,1
2014_13-6827,2014,John G. Roberts Jr.,David A. Curran,23221__2_010,23221__2_013,M,4,2,2,453,437,16,conservative,conservative,0,0,0,0,0,0.0,0.0,7,1,0,0,M,M-conservative,1
2014_13-6827,2014,Samuel A. Alito Jr.,David A. Curran,23221__2_014,23221__2_025,M,12,6,6,373,302,71,conservative,conservative,0,0,0,4,0,13.245033112582782,0.0,12,2,257,0,M,M-conservative,1
2014_13-6827,2014,Ruth Bader Ginsburg,David A. Curran,23221__2_026,23221__2_029,M,4,2,2,261,176,85,conservative,liberal,0,0,0,1,0,5.681818181818182,0.0,1,1,96,0,F,M-conservative,0
2014_13-6827,2014,Sonia Sotomayor,David A. Curran,23221__2_034,23221__2_059,M,26,13,13,1158,796,362,conservative,liberal,0,0,0,6,2,7.5376884422110555,5.524861878453039,9,7,424,45,F,M-conservative,0
2014_13-6827,2014,Ruth Bader Ginsburg,David A. Curran,23221__2_060,23221__2_063,M,4,2,2,369,291,78,conservative,liberal,0,0,0,0,0,0.0,0.0,1,0,0,0,F,M-conservative,0
2014_13-6827,2014,Samuel A. Alito Jr.,David A. Curran,23221__2_064,23221__2_075,M,12,6,6,429,207,222,conservative,conservative,0,0,0,3,0,14.492753623188406,0.0,10,4,159,0,M,M-conservative,1
2014_13-6827,2014,Ruth Bader Ginsburg,David A. Curran,23221__2_076,23221__2_079,M,4,2,2,207,124,83,conservative,liberal,0,0,0,0,0,0.0,0.0,6,3,0,0,F,M-conservative,0
2014_13-6827,2014,Sonia Sotomayor,David A. Curran,23221__2_080,23221__2_089,M,10,5,5,423,355,68,conservative,liberal,0,0,0,1,1,2.816901408450704,14.705882352941176,6,3,84,8,F,M-conservative,0
2014_13-6827,2014,Stephen G. Breyer,David A. Curran,23221__2_096,23221__2_105,M,10,5,5,392,159,233,conservative,liberal,0,0,0,3,0,18.867924528301888,0.0,3,2,65,0,M,M-conservative,0
2014_13-6827,2014,Samuel A. Alito Jr.,David A. Curran,23221__2_106,23221__2_109,M,4,2,2,317,212,105,conservative,conservative,0,0,0,1,0,4.716981132075472,0.0,7,2,54,0,M,M-conservative,1
2016_15-497,2016,Anthony M. Kennedy,Samuel R. Bagenstos,24224__0_001,24224__0_006,M,6,3,3,270,159,111,liberal,conservative,0,0,0,1,0,6.289308176100629,0.0,0,3,24,0,M,M-liberal,0
2016_15-497,2016,John G. Roberts Jr.,Samuel R. Bagenstos,24224__0_009,24224__0_014,M,6,3,3,424,246,178,liberal,conservative,0,0,0,0,0,0.0,0.0,5,3,0,0,M,M-liberal,0
2016_15-497,2016,Stephen G. Breyer,Samuel R. Bagenstos,24224__0_015,24224__0_020,M,6,3,3,487,213,274,liberal,liberal,0,0,0,1,1,4.694835680751174,3.6496350364963503,4,7,56,6,M,M-liberal,1
2016_15-497,2016,John G. Roberts Jr.,Samuel R. Bagenstos,24224__0_021,24224__0_028,M,8,4,4,630,333,297,liberal,conservative,0,0,0,2,0,6.006006006006006,0.0,9,2,234,0,M,M-liberal,0
2016_15-497,2016,Elena Kagan,Samuel R. Bagenstos,24224__0_031,24224__0_038,M,8,4,4,422,118,304,liberal,liberal,0,0,0,0,0,0.0,0.0,5,4,0,0,F,M-liberal,1
2016_15-497,2016,John G. Roberts Jr.,Samuel R. Bagenstos,24224__0_043,24224__0_046,M,4,2,2,142,39,103,liberal,conservative,0,0,0,0,1,0.0,9.70873786407767,1,2,0,86,M,M-liberal,0
2016_15-497,2016,Sonia Sotomayor,Samuel R. Bagenstos,24224__3_000,24224__3_022,M,23,11,12,923,687,236,liberal,liberal,0,0,0,3,3,4.366812227074236,12.711864406779661,7,6,210,37,F,M-liberal,1
2015_15-7,2015,Stephen G. Breyer,Roy T. Englert Jr.,24132__0_003,24132__0_013,M,11,5,6,770,340,430,conservative,liberal,0,0,0,2,0,5.882352941176471,0.0,1,7,159,0,M,M-conservative,0
2015_15-7,2015,Anthony M. Kennedy,Roy T. Englert Jr.,24132__0_016,24132__0_021,M,6,3,3,158,63,95,conservative,conservative,0,0,0,1,0,15.873015873015873,0.0,1,3,6,0,M,M-conservative,1
2015_15-7,2015,Sonia Sotomayor,Roy T. Englert Jr.,24132__0_027,24132__0_038,M,12,6,6,580,386,194,conservative,liberal,0,0,0,2,3,5.181347150259067,15.463917525773196,0,4,64,48,F,M-conservative,0
2015_15-7,2015,Anthony M. Kennedy,Roy T. Englert Jr.,24132__0_041,24132__0_048,M,8,4,4,179,114,65,conservative,conservative,0,0,0,2,0,17.54385964912281,0.0,2,1,21,0,M,M-conservative,1
2015_15-7,2015,Elena Kagan,Roy T. Englert Jr.,24132__0_049,24132__0_064,M,16,8,8,746,342,404,conservative,liberal,0,0,0,3,3,8.771929824561404,7.425742574257426,6,13,37,86,F,M-conservative,0
2015_15-7,2015,Stephen G. Breyer,Roy T. Englert Jr.,24132__0_065,24132__0_075,M,11,6,5,831,475,356,conservative,liberal,0,0,0,3,2,6.315789473684211,5.617977528089888,2,8,298,45,M,M-conservative,0
2015_15-7,2015,Sonia Sotomayor,David C. Frederick,24132__1_000,24132__1_005,M,6,3,3,221,139,82,liberal,liberal,3,1,0,2,1,14.388489208633093,12.195121951219512,1,2,134,3,F,M-liberal,1
2015_15-7,2015,John G. Roberts Jr.,David C. Frederick,24132__1_006,24132__1_025,M,20,10,10,727,468,259,liberal,conservative,3,1,0,6,2,12.820512820512821,7.722007722007722,5,7,290,15,M,M-liberal,0
2015_15-7,2015,Stephen G. Breyer,David C. Frederick,24132__1_026,24132__1_031,M,6,3,3,244,63,181,liberal,liberal,3,1,0,0,0,0.0,0.0,0,6,0,0,M,M-liberal,1
2015_15-7,2015,John G. Roberts Jr.,David C. Frederick,24132__1_032,24132__1_039,M,8,4,4,1014,699,315,liberal,conservative,3,1,0,1,0,1.4306151645207439,0.0,6,5,91,0,M,M-liberal,0
